月份,排名,车型,销量,厂商,售价
201901,1,飞度,14232,广汽本田,8.18 - 10.88
201901,2,Polo,13641,上汽大众,9.09 - 12.49
201901,3,赛欧,9378,上汽通用雪佛兰,6.29 - 7.99
201901,4,YARiS L 致炫,8436,广汽丰田,8.58 - 10.38
201901,5,焕驰,7052,悦达起亚,6.49 - 6.89
201901,6,YARiS L 致享,6596,广汽丰田,8.78 - 9.38
201901,7,威驰,6377,一汽丰田,7.38 - 9.48
201901,8,宝骏310,5690,上汽通用五菱,4.09 - 5.29
201901,9,KX CROSS,5385,悦达起亚,0.00 - 0.00
201901,10,威驰FS,5192,一汽丰田,7.18 - 9.28
201901,11,长安CX20,4516,长安汽车,0.00 - 0.00
201901,12,晶锐,1512,上汽大众斯柯达,0.00 - 0.00
201901,13,名爵3,1291,上汽集团,0.00 - 0.00
201901,14,瑞纳,1010,北京现代,0.00 - 0.00
201901,15,奇瑞E3,776,奇瑞汽车,0.00 - 0.00
201901,16,悦翔,774,长安汽车,5.19 - 6.79
201901,17,悦纳,487,北京现代,7.28 - 9.68
201901,18,江淮iEV,203,江淮汽车,9.45 - 9.45
201901,19,传祺GA3S PHEV,147,广汽埃安,16.48 - 17.48
201901,20,起亚K2,111,悦达起亚,0.00 - 0.00
201901,21,和悦A30,102,江淮汽车,0.00 - 0.00
201901,22,乐风RV,11,上汽通用雪佛兰,7.49 - 9.99
201901,23,骊威,4,东风日产,0.00 - 0.00
201901,24,雨燕,3,长安铃木,0.00 - 0.00
201901,25,江铃E160,2,江铃集团新能源,0.00 - 0.00
201901,26,力帆330EV,1,力帆汽车,0.00 - 0.00
201902,1,飞度,7923,广汽本田,8.18 - 10.88
201902,2,Polo,7099,上汽大众,9.09 - 12.49
201902,3,赛欧,4459,上汽通用雪佛兰,6.29 - 7.99
201902,4,焕驰,4399,悦达起亚,6.49 - 6.89
201902,5,宝骏310,3718,上汽通用五菱,4.09 - 5.29
201902,6,YARiS L 致炫,3219,广汽丰田,8.58 - 10.38
201902,7,KX CROSS,2884,悦达起亚,0.00 - 0.00
201902,8,威驰,2819,一汽丰田,7.38 - 9.48
201902,9,YARiS L 致享,2555,广汽丰田,8.78 - 9.38
201902,10,瑞纳,2179,北京现代,0.00 - 0.00
201902,11,威驰FS,1822,一汽丰田,7.18 - 9.28
201902,12,悦纳,1506,北京现代,7.28 - 9.68
201902,13,悦翔,1070,长安汽车,5.19 - 6.79
201902,14,名爵3,532,上汽集团,0.00 - 0.00
201902,15,江淮iEV,286,江淮汽车,9.45 - 9.45
201902,16,奇瑞E3,263,奇瑞汽车,0.00 - 0.00
201902,17,起亚K2,120,悦达起亚,0.00 - 0.00
201902,18,和悦A30,98,江淮汽车,0.00 - 0.00
201902,19,雨燕,10,长安铃木,0.00 - 0.00
201902,20,风云2,10,奇瑞汽车,0.00 - 0.00
201903,1,飞度,15911,广汽本田,8.18 - 10.88
201903,2,Polo,7599,上汽大众,9.09 - 12.49
201903,3,宝骏310,7356,上汽通用五菱,4.09 - 5.29
201903,4,瑞纳,7242,北京现代,0.00 - 0.00
201903,5,赛欧,7201,上汽通用雪佛兰,6.29 - 7.99
201903,6,YARiS L 致炫,5662,广汽丰田,8.58 - 10.38
201903,7,威驰,5362,一汽丰田,7.38 - 9.48
201903,8,悦纳,5217,北京现代,7.28 - 9.68
201903,9,焕驰,4857,悦达起亚,6.49 - 6.89
201903,10,YARiS L 致享,4039,广汽丰田,8.78 - 9.38
201903,11,KX CROSS,3076,悦达起亚,0.00 - 0.00
201903,12,威驰FS,3006,一汽丰田,7.18 - 9.28
201903,13,江淮iEV,1900,江淮汽车,9.45 - 9.45
201903,14,悦翔,1193,长安汽车,5.19 - 6.79
201903,15,奇瑞E3,1024,奇瑞汽车,0.00 - 0.00
201903,16,名爵3,716,上汽集团,0.00 - 0.00
201903,17,和悦A30,197,江淮汽车,0.00 - 0.00
201903,18,起亚K2,125,悦达起亚,0.00 - 0.00
201903,19,威志V5,100,天津一汽,0.00 - 0.00
201903,20,威志V2,60,天津一汽,0.00 - 0.00
201903,21,风云2,15,奇瑞汽车,0.00 - 0.00
201903,22,雨燕,2,长安铃木,0.00 - 0.00
201903,23,乐风RV,1,上汽通用雪佛兰,7.49 - 9.99
201904,1,飞度,15349,广汽本田,8.18 - 10.88
201904,2,赛欧,7331,上汽通用雪佛兰,6.29 - 7.99
201904,3,威驰,6264,一汽丰田,7.38 - 9.48
201904,4,焕驰,4626,悦达起亚,6.49 - 6.89
201904,5,Polo,4421,上汽大众,9.09 - 12.49
201904,6,瑞纳,4046,北京现代,0.00 - 0.00
201904,7,宝骏310,3231,上汽通用五菱,4.09 - 5.29
201904,8,悦纳,2530,北京现代,7.28 - 9.68
201904,9,威驰FS,2135,一汽丰田,7.18 - 9.28
201904,10,YARiS L 致炫,1682,广汽丰田,8.58 - 10.38
201904,11,KX CROSS,1358,悦达起亚,0.00 - 0.00
201904,12,名爵3,1155,上汽集团,0.00 - 0.00
201904,13,悦翔,1003,长安汽车,5.19 - 6.79
201904,14,奇瑞E3,932,奇瑞汽车,0.00 - 0.00
201904,15,YARiS L 致享,922,广汽丰田,8.78 - 9.38
201904,16,江淮iEV,889,江淮汽车,9.45 - 9.45
201904,17,和悦A30,135,江淮汽车,0.00 - 0.00
201904,18,绅宝D20,100,北京汽车,0.00 - 0.00
201904,19,起亚K2,61,悦达起亚,0.00 - 0.00
201904,20,风云2,30,奇瑞汽车,0.00 - 0.00
201904,21,传祺GA3S PHEV,5,广汽埃安,16.48 - 17.48
201904,22,江铃E160,1,江铃集团新能源,0.00 - 0.00
201904,23,乐风RV,1,上汽通用雪佛兰,7.49 - 9.99
201905,1,飞度,14506,广汽本田,8.18 - 10.88
201905,2,赛欧,8012,上汽通用雪佛兰,6.29 - 7.99
201905,3,威驰,7956,一汽丰田,7.38 - 9.48
201905,4,YARiS L 致炫,7552,广汽丰田,8.58 - 10.38
201905,5,Polo,6028,上汽大众,9.09 - 12.49
201905,6,YARiS L 致享,5537,广汽丰田,8.78 - 9.38
201905,7,焕驰,4528,悦达起亚,6.49 - 6.89
201905,8,瑞纳,3260,北京现代,0.00 - 0.00
201905,9,悦纳,2663,北京现代,7.28 - 9.68
201905,10,宝骏310,2349,上汽通用五菱,4.09 - 5.29
201905,11,威驰FS,1849,一汽丰田,7.18 - 9.28
201905,12,名爵3,1827,上汽集团,0.00 - 0.00
201905,13,凯翼C3R,1701,凯翼汽车,0.00 - 0.00
201905,14,悦翔,1455,长安汽车,5.19 - 6.79
201905,15,江淮iEV,1105,江淮汽车,9.45 - 9.45
201905,16,KX CROSS,1070,悦达起亚,0.00 - 0.00
201905,17,奇瑞E3,679,奇瑞汽车,0.00 - 0.00
201905,18,风云2,20,奇瑞汽车,0.00 - 0.00
201905,19,起亚K2,9,悦达起亚,0.00 - 0.00
201905,20,雨燕,1,长安铃木,0.00 - 0.00
201905,21,骊威,1,东风日产,0.00 - 0.00
201906,1,飞度,15601,广汽本田,8.18 - 10.88
201906,2,赛欧,9291,上汽通用雪佛兰,6.29 - 7.99
201906,3,YARiS L 致炫,6838,广汽丰田,8.58 - 10.38
201906,4,威驰,6474,一汽丰田,7.38 - 9.48
201906,5,焕驰,6231,悦达起亚,6.49 - 6.89
201906,6,瑞纳,4840,北京现代,0.00 - 0.00
201906,7,YARiS L 致享,4785,广汽丰田,8.78 - 9.38
201906,8,江淮iEV,4674,江淮汽车,9.45 - 9.45
201906,9,Polo,4312,上汽大众,9.09 - 12.49
201906,10,宝骏310,3289,上汽通用五菱,4.09 - 5.29
201906,11,名爵3,2869,上汽集团,0.00 - 0.00
201906,12,威驰FS,2164,一汽丰田,7.18 - 9.28
201906,13,KX CROSS,2092,悦达起亚,0.00 - 0.00
201906,14,悦纳,1554,北京现代,7.28 - 9.68
201906,15,悦翔,1458,长安汽车,5.19 - 6.79
201906,16,奇瑞E3,991,奇瑞汽车,0.00 - 0.00
201906,17,起亚K2,151,悦达起亚,0.00 - 0.00
201906,18,绅宝D20,10,北京汽车,0.00 - 0.00
201906,19,传祺GA3S PHEV,3,广汽埃安,16.48 - 17.48
201906,20,雨燕,2,长安铃木,0.00 - 0.00
201907,1,赛欧,9719,上汽通用雪佛兰,6.29 - 7.99
201907,2,YARiS L 致炫,6545,广汽丰田,8.58 - 10.38
201907,3,焕驰,6231,悦达起亚,6.49 - 6.89
201907,4,飞度,5180,广汽本田,8.18 - 10.88
